,,,,,,,,,总得分,,,,发球得分,,非发球对手接不到,,正反手,发球失误,,失误,,擦网,,擦网获胜,,尝试破发,,破发得分,,破发未得分,,,,,,,,
game_no,p1_games,p2_games,sub_game,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,sub_point,game_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,player1_quality,player2_quality,elo1,elo2,p1_sets,p2_sets,sub_set
3,1,1,0,6,9,2,1,2,22,30,-8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
3,1,1,0,7,9,2,1,1,23,30,-7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,0,0,0
3,1,1,0,8,9,1,1,1,24,30,-6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0
3,1,1,0,8,10,1,1,2,24,31,-7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
3,1,1,0,8,11,2,1,2,24,32,-8,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,0,1,2,1,2,24,33,-9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,0,2,2,1,2,24,34,-10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,0,0,0
4,1,2,-1,0,3,1,1,2,24,35,-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,1,3,1,1,1,25,35,-10,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,2,3,2,1,1,26,35,-9,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,2,4,2,1,2,26,36,-10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,3,4,1,1,1,27,36,-9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,3,5,1,1,2,27,37,-10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,4,5,2,1,1,28,37,-9,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,4,6,2,1,2,28,38,-10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,5,6,1,1,1,29,38,-9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,5,7,1,1,2,29,39,-10,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,5,8,2,1,2,29,40,-11,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,5,9,2,1,2,29,41,-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,6,9,1,1,1,30,41,-11,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,7,9,1,2,1,31,41,-10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,7,10,2,1,2,31,42,-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,8,10,2,2,1,32,42,-10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,9,10,1,1,1,33,42,-9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
4,1,2,-1,9,11,1,1,2,33,43,-10,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
5,1,3,-2,1,0,1,1,1,34,43,-9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
5,1,3,-2,2,0,1,1,1,35,43,-8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0
5,1,3,-2,2,1,2,1,2,35,44,-9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
5,1,3,-2,2,2,2,1,2,35,45,-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
5,1,3,-2,3,2,1,1,1,36,45,-9,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
5,1,3,-2,4,2,1,1,1,37,45,-8,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
5,1,3,-2,5,2,2,2,1,38,45,-7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
5,1,3,-2,6,2,2,1,1,39,45,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
5,1,3,-2,7,2,1,1,1,40,45,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
5,1,3,-2,8,2,1,1,1,41,45,-4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
5,1,3,-2,8,3,2,1,2,41,46,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
